idnum, state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
26,AK,AK, 2,99502, 1,1,1,3, , , 2, 1, 34,1730,1731,021189,021389,     0.3,     0.0,    58.562450,0,0, 20,ANCHORAGE           
27,AK,AK, 2,99502, 1,2,0,2,Y, , 3, 1, 35,0915,1100,030389,030389,     1.5,    14.2,    55.453022,0,0, 20,ANCHORAGE           
28,AK,AK, 2,99502, 1,1,1,3,Y, , 2, 1, 41,1915,1914,021189,021389,     0.0,     0.0,    58.562450,0,0, 20,ANCHORAGE           
29,AK,AK, 2,99502, 1,1,1,2,N, , 5, 1, 41,2110,2123,021189,021389,     0.0,     0.0,    63.974718,0,0, 20,ANCHORAGE           
30,AK,AK, 2,99502, 1,1,1,3,N, , 1, 1, 43,0710,1742,030389,030389,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
31,AK,AK, 2,99502, 1,2,0,1,Y, , 1, 1, 45,1330,1425,021389,021589,     4.2,     9.8,    65.463495,0,0, 20,ANCHORAGE           
32,AK,AK, 2,99502, 1,1,0,2,Y, , 5, 1, 46,1645,1816,021889,022089,     0.3,     0.0,    63.974718,0,0, 20,ANCHORAGE           
33,AK,AK, 2,99502, 1,1,0,2,N, , 4, 1, 60,0900,0900,022489,022689,     0.5,     0.0,    67.630554,0,0, 20,ANCHORAGE           
34,AK,AK, 2,99502, 1,1,0,1,Y, , 5, 1, 63,0600,0600,022489,022689,     0.4,     0.0,    63.974718,0,0, 20,ANCHORAGE           
35,AK,AK, 2,99502, 1,1,0,1,Y, , 2, 1, 66,0705,0900,022489,022689,     0.7,    28.7,    58.562450,0,0, 20,ANCHORAGE           
36,AK,AK, 2,99502, 1,0,1,3,Y, , 1, 1, 68,0600,0600,022489,022689,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
37,AK,AK, 2,99502, 1,1,0,3,N, , 1, 1, 70,1100,1100,022589,022789,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
38,AK,AK, 2,99502, 1,1,0,1,Y, , 4, 1, 70,0845,0845,022889,030389,     1.3,    17.6,    67.630554,0,0, 20,ANCHORAGE           
39,AK,AK, 2,99502, 1,1,0,2,Y, , 5, 1, 70,1740,1740,022389,022589,     1.4,    12.9,    63.974718,0,0, 20,ANCHORAGE           
40,AK,AK, 2,99502, 1,1,1,7, , , 4, 1, 65,0730,0730,030389,030389,     0.7,    37.2,    67.630554,0,0, 20,ANCHORAGE           
41,AK,AK, 2,99502, 1,1,1,3,N, , 2, 1, 69,0850,0850,030389,030389,     2.0,    13.4,    58.562450,0,0, 20,ANCHORAGE           
42,AK,AK, 2,99502, 1,0,9,0, , , 3, 1,  5,2030,0300,030389,030389,     0.9,    23.7,    55.453022,0,0, 20,ANCHORAGE           
43,AK,AK, 2,99502, 1,0,1,2, , , 2, 1,  6,1201,1900,030389,030389,     0.0,     0.0,    58.562450,0,0, 20,ANCHORAGE           
44,AK,AK, 2,99503, 1,1,0,2,Y, , 4, 1, 28,1045,1100,020289,020289,     1.5,    23.0,    67.630554,0,0, 20,ANCHORAGE           
45,AK,AK, 2,99503, 1,1,1,3,N, , 2, 1, 22,0740,0740,020289,020289,     0.0,     0.0,    58.562450,0,0, 20,ANCHORAGE           
46,AK,AK, 2,99503, 1,1,0,2,Y, , 2, 1, 22,1752,1800,021089,021289,     1.1,    24.7,    58.562450,0,0, 20,ANCHORAGE           
47,AK,AK, 2,99503, 1,1,0,2, , , 3, 1, 22,0500,0500,021789,021989,     0.4,     0.0,    55.453022,0,0, 20,ANCHORAGE           
48,AK,AK, 2,99503, 1,1,0,2,N, , 5, 1, 33,1030,1030,021389,021589,     2.4,    14.1,    63.974718,0,0, 20,ANCHORAGE           
49,AK,AK, 2,99503, 1,1,0,1,Y, , 5, 1, 34,0920,0940,021989,022189,     1.0,    35.6,    63.974718,0,0, 20,ANCHORAGE           
50,AK,AK, 2,99503, 1,1,0,4,Y, , 1, 1, 36,1150,1230,021089,021289,     2.4,    13.0,    65.463495,0,0, 20,ANCHORAGE           
51,AK,AK, 2,99503, 1,1,0,5,Y, , 2, 1, 38,1100,1100,021189,021489,     0.5,    32.7,    58.562450,0,0, 20,ANCHORAGE           
52,AK,AK, 2,99503, 1,1,1,3,Y, , 4, 1, 39,1015,1015,021489,021689,     0.8,    36.3,    67.630554,0,0, 20,ANCHORAGE           
53,AK,AK, 2,99503, 1,1,1,3,N, , 3, 1, 34,0035,0045,021189,021389,     0.2,     0.0,    55.453022,0,0, 20,ANCHORAGE           
54,AK,AK, 2,99503, 1,0,9,0, , , 2, 1, 42,1140,1140,021189,021389,     1.3,    18.9,    58.562450,0,0, 20,ANCHORAGE           
55,AK,AK, 2,99503, 1,1,1,3,Y, , 4, 1, 47,1930,2330,021989,022189,     0.0,     0.0,    67.630554,0,0, 20,ANCHORAGE           
56,AK,AK, 2,99503, 1,1,1,3,N, , 2, 1, 55,1105,1105,022089,022289,     0.7,    38.5,    58.562450,0,0, 20,ANCHORAGE           
57,AK,AK, 2,99503, 1,1,0,2,Y, , 2, 1, 56,0810,0810,021989,022189,     0.3,     0.0,    58.562450,0,0, 20,ANCHORAGE           
58,AK,AK, 2,99503, 1,1,9,3,N, , 1, 1, 61,1700,1700,022589,022789,     0.0,     0.0,    65.463495,0,0, 20,ANCHORAGE           
59,AK,AK, 2,99504, 1,1,0,4,Y, , 4, 1, 28,0700,0700,020289,021089,     0.9,    27.7,    67.630554,0,0, 20,ANCHORAGE           
60,AK,AK, 2,99504, 1,0,2,0,N, , 5, 1, 28,0850,0850,021289,021489,     0.0,     0.0,    63.974718,0,0, 20,ANCHORAGE           
61,AK,AK, 2,99504, 1,1,1,3,N, , 1, 1, 21,1900,1900,022689,022889,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
62,AK,AK, 2,99504, 1,1,0,2,Y, , 5, 1, 24,0900,1000,021089,021289,     5.1,     6.4,    63.974718,0,0, 20,ANCHORAGE           
63,AK,AK, 2,99504, 1,1,0,1,N, , 3, 1, 25,0545,0615,020289,020289,     1.5,    18.3,    55.453022,0,0, 20,ANCHORAGE           
64,AK,AK, 2,99504, 1,1,0,1,Y, , 4, 1, 22,0750,0750,022389,022589,     7.0,     4.7,    67.630554,0,0, 20,ANCHORAGE           
65,AK,AK, 2,99504, 1,0,2,0,N, , 5, 1, 26,0945,1500,021189,021389,     0.1,     0.0,    63.974718,0,0, 20,ANCHORAGE           
66,AK,AK, 2,99504, 1,1,1,2,N, , 3, 1, 31,1240,1245,022289,022489,     0.7,    31.8,    55.453022,0,0, 20,ANCHORAGE           
67,AK,AK, 2,99504, 1,1,1,7,N, , 3, 1, 32,1525,1755,021089,021289,     0.0,     0.0,    55.453022,0,0, 20,ANCHORAGE           
68,AK,AK, 2,99504, 1,0,9,0, , , 5, 1, 34,0700,0700,021389,021589,     2.2,    15.3,    63.974718,0,0, 20,ANCHORAGE           
69,AK,AK, 2,99504, 1,0,9,0, , , 1, 1, 38,1150,1200,022689,022889,     0.3,     0.0,    65.463495,0,0, 20,ANCHORAGE           
70,AK,AK, 2,99504, 1,0,9,0, , , 2, 1, 39,0700,0745,021189,021389,     0.4,     0.0,    58.562450,0,0, 20,ANCHORAGE           
71,AK,AK, 2,99504, 1,1,1,1,N, , 5, 1, 40,1730,1742,021089,021289,     0.0,     0.0,    63.974718,0,0, 20,ANCHORAGE           
72,AK,AK, 2,99504, 1,1,0,2,Y, , 5, 1, 41,0745,0745,021489,021689,     0.5,     0.0,    63.974718,0,0, 20,ANCHORAGE           
73,AK,AK, 2,99504, 1,1,1,2,N, , 5, 1, 43,0920,0920,021489,021689,     0.2,     0.0,    63.974718,0,0, 20,ANCHORAGE           
74,AK,AK, 2,99504, 1,1,0,2,Y, , 1, 1, 44,2000,2115,021389,021589,     1.8,    16.0,    65.463495,0,0, 20,ANCHORAGE           
75,AK,AK, 2,99504, 1,1,0,2,Y, , 3, 1, 50,0750,0808,021189,021389,     0.3,     0.0,    55.453022,0,0, 20,ANCHORAGE           
76,AK,AK, 2,99504, 1,1,0,4,Y, , 2, 1, 43,0800,0800,030389,030389,     0.1,     0.0,    58.562450,0,0, 20,ANCHORAGE           
77,AK,AK, 2,99504, 1,1,0,2,Y, , 3, 1, 45,0900,1230,030389,030389,     2.4,    14.7,    55.453022,0,0, 20,ANCHORAGE           
78,AK,AK, 2,99504, 1,1,1,2,N, , 1, 1, 46,0830,0840,022289,022489,     0.1,     0.0,    65.463495,0,0, 20,ANCHORAGE           
79,AK,AK, 2,99504, 1,1,0,2, , , 4, 1, 46,0800,0800,022189,022389,     2.0,    13.1,    67.630554,0,0, 20,ANCHORAGE           
80,AK,AK, 2,99504, 1,1,0,2,Y, , 1, 1, 47,0630,0630,021989,022189,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
81,AK,AK, 2,99504, 1,1,0,1,Y, , 5, 1, 51,1625,1830,021989,022189,     2.7,    15.4,    63.974718,0,0, 20,ANCHORAGE           
82,AK,AK, 2,99504, 1,2,1,7,N, , 2, 1, 53,1915,2005,021889,022089,     0.8,    46.9,    58.562450,0,0, 20,ANCHORAGE           
83,AK,AK, 2,99504, 1,1,0,2,Y, , 4, 1, 53,0000,0000,022089,022389,     0.0,     0.0,    67.630554,0,0, 20,ANCHORAGE           
84,AK,AK, 2,99504, 1,1,1,2,N, , 3, 1, 55,1400,1400,021989,022189,     0.5,    50.9,    55.453022,0,0, 20,ANCHORAGE           
85,AK,AK, 2,99504, 1,1,0,7,Y, , 4, 1, 57,0720,0735,022089,022289,     0.1,     0.0,    67.630554,0,0, 20,ANCHORAGE           
86,AK,AK, 2,99504, 1,1,0,2,Y, , 1, 1, 58,1905,2129,022689,022889,     1.5,    22.3,    65.463495,0,0, 20,ANCHORAGE           
87,AK,AK, 2,99504, 1,1,1,2,N, , 2, 1, 58,0730,1000,021889,022089,     9.6,     4.1,    58.562450,0,0, 20,ANCHORAGE           
88,AK,AK, 2,99504, 1,1,0,2,Y, , 3, 1, 58,0930,0930,021889,022089,     0.9,    44.6,    55.453022,0,0, 20,ANCHORAGE           
89,AK,AK, 2,99504, 1,1,1,2,N, , 4, 1, 58,0930,0930,021889,022089,     1.0,    41.1,    67.630554,0,0, 20,ANCHORAGE           
90,AK,AK, 2,99504, 1,1,0,4,Y, , 5, 1, 58,1530,1530,021789,021989,     1.3,    37.6,    63.974718,0,0, 20,ANCHORAGE           
91,AK,AK, 2,99504, 1,1,0,1,Y, , 1, 1, 59,1100,1100,021889,022089,     3.0,     8.5,    65.463495,0,0, 20,ANCHORAGE           
92,AK,AK, 2,99504, 1,1,0,2,Y, , 1, 1, 52,0735,0740,022389,022589,     1.3,    17.2,    65.463495,0,0, 20,ANCHORAGE           
93,AK,AK, 2,99504, 1,1,1,2,N, , 1, 1, 61,0700,0700,022589,022789,     1.2,    18.0,    65.463495,0,0, 20,ANCHORAGE           
94,AK,AK, 2,99504, 1,1,1,3,N, , 2, 1, 63,1157,1157,022589,022789,     0.0,     0.0,    58.562450,0,0, 20,ANCHORAGE           
95,AK,AK, 2,99504, 1,1,1,2,N, , 1, 1, 65,0830,0830,022589,022789,     0.5,    36.6,    65.463495,0,0, 20,ANCHORAGE           
96,AK,AK, 2,99504, 1,1,1,7,N, , 3, 1, 65,1000,1020,022589,022789,     0.6,    32.3,    55.453022,0,0, 20,ANCHORAGE           
97,AK,AK, 2,99504, 1,1,1,3,N, , 3, 1, 66,1906,1910,022489,022689,     0.7,   129.4,    55.453022,0,0, 20,ANCHORAGE           
98,AK,AK, 2,99504, 1,1,1,7,N, , 2, 1, 67,1820,1900,022489,022689,     1.2,    23.4,    58.562450,0,0, 20,ANCHORAGE           
99,AK,AK, 2,99504, 1,1,1,1,N, , 2, 1, 68,2000,2001,022489,022689,     0.4,     0.0,    58.562450,0,0, 20,ANCHORAGE           
100,AK,AK, 2,99504, 1,1,0,2,Y, , 3, 1, 68,0930,0930,031389,031589,     0.5,    56.0,    55.453022,0,0, 20,ANCHORAGE           
101,AK,AK, 2,99504, 1,1,1,3,N, , 2, 1, 69,0800,0800,022589,022789,     0.6,    33.3,    58.562450,0,0, 20,ANCHORAGE           
102,AK,AK, 2,99504, 1,1,1,3,N, , 1, 1, 70,0900,0930,030389,030389,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
103,AK,AK, 2,99504, 1,1,1,3,N, , 2, 1,  1,0840,0911,040489,040489,     3.4,     9.1,    58.562450,0,0, 20,ANCHORAGE           
104,AK,AK, 2,99504, 1,1,0,7,Y, , 5, 1,  1,1600,1600,030389,030389,     0.8,    32.8,    63.974718,0,0, 20,ANCHORAGE           
105,AK,AK, 2,99504, 1,1,0,2,Y, , 2, 1,  2,1204,1204,032589,032789,     0.6,    36.0,    58.562450,0,0, 20,ANCHORAGE           
106,AK,AK, 2,99504, 1,1,0,2,N, , 4, 1,  5,1930,0800,031289,031589,     1.6,    17.3,    67.630554,0,0, 20,ANCHORAGE           
107,AK,AK, 2,99504, 1,1,1,1,N, , 1, 1,  2,0815,0830,030389,030389,     0.5,    44.5,    65.463495,0,0, 20,ANCHORAGE           
108,AK,AK, 2,99504, 1,1,0,1,Y, , 2, 1,  5,2100,2140,031089,031289,     1.5,    16.4,    58.562450,0,0, 20,ANCHORAGE           
109,AK,AK, 2,99504, 1,1,0,4,Y, , 2, 1,  6,1145,1145,031189,031389,     0.2,     0.0,    58.562450,0,0, 20,ANCHORAGE           
110,AK,AK, 2,99507, 1,1,1,3,N, , 1, 1, 28,0800,0800,021189,021389,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
111,AK,AK, 2,99507, 1,1,1,3,N, , 5, 1, 28,0830,0820,020289,020289,     0.2,     0.0,    63.974718,0,0, 20,ANCHORAGE           
112,AK,AK, 2,99507, 1,1,0,2,Y, , 5, 1, 29,0900,1900,020289,020289,     2.9,     8.7,    63.974718,0,0, 20,ANCHORAGE           
113,AK,AK, 2,99507, 1,1,1,3,N, , 3, 1, 23,1345,1455,021289,021489,     0.0,     0.0,    55.453022,0,0, 20,ANCHORAGE           
114,AK,AK, 2,99507, 1,1,0,5, , , 2, 1, 31,0850,0915,021289,021489,     0.8,    24.2,    58.562450,0,0, 20,ANCHORAGE           
115,AK,AK, 2,99507, 1,1,0,2,Y, , 1, 1, 32,0535,0815,021589,021789,     0.6,    37.1,    65.463495,0,0, 20,ANCHORAGE           
116,AK,AK, 2,99507, 1,1,0,2,Y, , 2, 1, 33,1800,1900,022089,022289,     0.9,    34.5,    58.562450,0,0, 20,ANCHORAGE           
117,AK,AK, 2,99507, 1,1,0,4,Y, , 1, 1, 38,0900,0900,021289,021489,     1.5,    14.5,    65.463495,0,0, 20,ANCHORAGE           
118,AK,AK, 2,99507, 1,1,0,1,Y, , 2, 1, 40,0800,0846,021789,022289,     0.6,    38.3,    58.562450,0,0, 20,ANCHORAGE           
119,AK,AK, 2,99507, 1,1,1,1,N, , 3, 1, 40,0530,0530,021389,021589,     0.5,    66.9,    55.453022,0,0, 20,ANCHORAGE           
120,AK,AK, 2,99507, 1,2,2,3,N, , 5, 1, 31,2045,2100,021389,021589,     0.0,     0.0,    63.974718,0,0, 20,ANCHORAGE           
121,AK,AK, 2,99507, 1,0,9,0, , , 4, 1, 37,0810,1130,021389,021589,     1.2,    27.9,    67.630554,0,0, 20,ANCHORAGE           
122,AK,AK, 2,99507, 1,1,1,1,N, , 4, 1, 43,0700,0700,021289,021489,     0.2,     0.0,    67.630554,0,0, 20,ANCHORAGE           
123,AK,AK, 2,99507, 1,0,9,0, , , 1, 1, 45,2145,2150,021389,021589,     0.6,    54.9,    65.463495,0,0, 20,ANCHORAGE           
124,AK,AK, 2,99507, 1,1,1,2,N, , 2, 1, 43,1245,1645,021789,021989,     1.3,    18.3,    58.562450,0,0, 20,ANCHORAGE           
125,AK,AK, 2,99507, 1,1,0,3,Y, , 5, 1, 49,1800,1800,021789,021989,     8.6,     7.5,    63.974718,0,0, 20,ANCHORAGE           
126,AK,AK, 2,99507, 1,1,1,3,N, , 3, 1, 59,1645,1655,022689,022889,     0.4,     0.0,    55.453022,0,0, 20,ANCHORAGE           
127,AK,AK, 2,99507, 1,1,1,2,N, , 1, 1, 54,2330,2300,021889,022089,     1.7,    14.3,    65.463495,0,0, 20,ANCHORAGE           
128,AK,AK, 2,99507, 1,1,1,3,N, , 1, 1, 55,0730,0730,031389,031589,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
129,AK,AK, 2,99507, 1,1,0,7,Y, , 5, 1, 55,1230,1230,021989,022189,     2.2,    14.6,    63.974718,0,0, 20,ANCHORAGE           
130,AK,AK, 2,99507, 1,1,1,3,Y, , 1, 1, 53,0900,1145,022589,022789,     3.7,     7.1,    65.463495,0,0, 20,ANCHORAGE           
131,AK,AK, 2,99507, 1,1,1,3,N, , 5, 1, 66,0845,0843,022589,022789,     0.7,    27.9,    63.974718,0,0, 20,ANCHORAGE           
132,AK,AK, 2,99507, 1,1,1,3,N, , 1, 1, 67,0630,0730,022789,030389,     0.0,     0.0,    65.463495,0,0, 20,ANCHORAGE           
133,AK,AK, 2,99507, 1,1,0,7,Y, , 1, 1, 69,0815,0830,022589,022789,    16.4,     2.9,    65.463495,0,0, 20,ANCHORAGE           
134,AK,AK, 2,99508, 1,1,0,2,Y, , 3, 1, 28,0800,0800,020289,021189,     2.4,    11.9,    55.453022,0,0, 20,ANCHORAGE           
135,AK,AK, 2,99508, 1,1,0,1,Y, , 1, 1, 29,0800,0800,020289,021189,     0.6,    38.0,    65.463495,0,0, 20,ANCHORAGE           
136,AK,AK, 2,99508, 1,1,1,1,N, , 5, 1, 29,2100,2124,020289,020289,     0.5,    39.4,    63.974718,0,0, 20,ANCHORAGE           
137,AK,AK, 2,99508, 1,1,1,0,N, , 3, 1, 24,0715,1800,020289,021089,     0.1,     0.0,    55.453022,0,0, 20,ANCHORAGE           
138,AK,AK, 2,99508, 1,1,0,5,Y, , 4, 1, 27,0800,0900,021689,021889,     2.7,     8.4,    67.630554,0,0, 20,ANCHORAGE           
139,AK,AK, 2,99508, 1,1,0,2,Y, , 1, 1, 25,0930,0930,021989,022189,     2.4,    16.1,    65.463495,0,0, 20,ANCHORAGE           
140,AK,AK, 2,99508, 1,1,0,7,Y, , 1, 1, 30,0800,0811,021689,021889,     1.7,    35.6,    65.463495,0,0, 20,ANCHORAGE           
141,AK,AK, 2,99508, 1,1,0,1,Y, , 3, 1, 30,0500,0515,021189,021389,     0.9,    20.2,    55.453022,0,0, 20,ANCHORAGE           
142,AK,AK, 2,99508, 1,1,0,2,Y, , 3, 1, 33,1015,1015,021189,021389,     1.4,    15.0,    55.453022,0,0, 20,ANCHORAGE           
143,AK,AK, 2,99508, 1,1,0,2,Y, , 5, 1, 35,0736,0835,022289,022489,     0.8,    27.8,    63.974718,0,0, 20,ANCHORAGE           
144,AK,AK, 2,99508, 1,1,0,2,Y, , 1, 1, 36,1430,1500,021289,021489,     0.3,     0.0,    65.463495,0,0, 20,ANCHORAGE           
145,AK,AK, 2,99508, 1,1,1,3,Y, , 5, 1, 36,1000,1000,021389,021589,     1.7,    20.6,    63.974718,0,0, 20,ANCHORAGE           
146,AK,AK, 2,99508, 1,1,1,2,N, , 2, 1, 38,1315,1400,021089,021289,     9.0,     4.8,    58.562450,0,0, 20,ANCHORAGE           
147,AK,AK, 2,99508, 1,1,1,3,N, , 4, 1, 38,1115,1100,021389,021589,     0.6,    49.8,    67.630554,0,0, 20,ANCHORAGE           
148,AK,AK, 2,99508, 1,1,0,7,Y, , 5, 1, 38,1030,1030,021189,021389,     1.7,    15.5,    63.974718,0,0, 20,ANCHORAGE           
149,AK,AK, 2,99508, 1,1,0,4,Y, , 4, 1, 40,1715,1730,021289,021489,     2.7,    13.5,    67.630554,0,0, 20,ANCHORAGE           
150,AK,AK, 2,99508, 1,1,0,4,Y, , 4, 1, 40,0800,0800,030389,030389,     0.9,    19.9,    67.630554,0,0, 20,ANCHORAGE           
151,AK,AK, 2,99508, 1,1,0,2,Y, , 5, 1, 40,0900,0900,021389,021589,     1.9,    19.2,    63.974718,0,0, 20,ANCHORAGE           
152,AK,AK, 2,99508, 1,1,0,1,Y, , 5, 1, 40,0845,0845,021389,021589,     1.4,    27.3,    63.974718,0,0, 20,ANCHORAGE           
153,AK,AK, 2,99508, 1,1,1,3,N, , 1, 1, 41,1330,1345,021389,021589,     2.7,    14.3,    65.463495,0,0, 20,ANCHORAGE           
154,AK,AK, 2,99508, 1,1,1,3,N, , 2, 1, 41,1040,1040,021289,021489,     1.3,    31.5,    58.562450,0,0, 20,ANCHORAGE           
155,AK,AK, 2,99508, 1,1,1,3,Y, , 1, 1, 42,0530,0530,021389,021589,     0.8,    44.0,    65.463495,0,0, 20,ANCHORAGE           
156,AK,AK, 2,99508, 1,0,2,0,N, , 2, 1, 44,1430,1430,021089,021289,     0.4,     0.0,    58.562450,0,0, 20,ANCHORAGE           
157,AK,AK, 2,99508, 1,1,0,3,Y, , 4, 1, 45,1100,1100,022189,022389,     0.2,     0.0,    67.630554,0,0, 20,ANCHORAGE           
158,AK,AK, 2,99508, 1,1,1,1,N, , 2, 1, 47,0645,0645,022089,022289,     0.0,     0.0,    58.562450,0,0, 20,ANCHORAGE           
159,AK,AK, 2,99508, 1,1,0,2,Y, , 1, 1, 48,1705,1920,022189,022389,     4.0,     8.1,    65.463495,0,0, 20,ANCHORAGE           
160,AK,AK, 2,99508, 1,1,1,7,N, , 5, 1, 51,1000,1000,021889,022289,     0.5,     0.0,    63.974718,0,0, 20,ANCHORAGE           
161,AK,AK, 2,99508, 1,1,2,3,Y, , 3, 1, 52,0630,0630,021889,022089,     1.0,    43.1,    55.453022,0,0, 20,ANCHORAGE           
162,AK,AK, 2,99508, 1,1,1,7,N, , 3, 1, 56,0500,0615,022589,022789,     0.6,    40.9,    55.453022,0,0, 20,ANCHORAGE           
163,AK,AK, 2,99508, 1,1,0,2,Y, , 1, 1, 51,1030,1058,022589,022789,     0.8,    23.2,    65.463495,0,0, 20,ANCHORAGE           
164,AK,AK, 2,99508, 1,1,1,1,N, , 4, 1, 61,0740,0745,022789,030389,     1.4,    22.3,    67.630554,0,0, 20,ANCHORAGE           
165,AK,AK, 2,99508, 1,1,1,3,N, , 1, 1, 65,0900,0900,022589,022789,     1.7,    13.8,    65.463495,0,0, 20,ANCHORAGE           
166,AK,AK, 2,99508, 1,1,0,2,Y, , 1, 1, 66,0800,0800,022589,022789,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
167,AK,AK, 2,99508, 1,0,9,0,N, , 5, 1, 47,0845,0856,030389,030389,     0.6,    53.9,    63.974718,0,0, 20,ANCHORAGE           
168,AK,AK, 2,99508, 1,1,1,3,N, , 4, 1, 70,1300,1700,030389,030389,     0.1,     0.0,    67.630554,0,0, 20,ANCHORAGE           
169,AK,AK, 2,99508, 1,1,0,2,Y, , 3, 1,  4,1016,0905,030389,030389,     1.1,    22.9,    55.453022,0,0, 20,ANCHORAGE           
170,AK,AK, 2,99508, 1,1,1,1,N, , 5, 1,  4,1900,1910,030389,030389,     0.1,     0.0,    63.974718,0,0, 20,ANCHORAGE           
171,AK,AK, 2,99508, 1,1,1,3,Y, , 1, 1,  5,0700,0700,030389,030389,     0.7,    37.6,    65.463495,0,0, 20,ANCHORAGE           
