 stabbr, psuid, wt_nrdad, lolv, lnlv, hhmn, lolvnliv, r_type, grnd_cn, singmult, r_res3, lowflor, bldg_age, r_basemt, basentr, gaswthtr, tight, ventfreq
MA    ,             4,   13585.013,       0.369,       0.369,       0.303, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             4,   13585.013,       0.577,       0.577,       0.403, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             4,   13585.013,       2.927,       2.927,       1.665, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  2    
MA    ,             4,   13585.013,       2.044,       2.044,       1.065, 2     ,  4    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  1    ,  1    ,  5    
MA    ,             4,   15095.128,      -0.035,       0.163,      -0.045, 1     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  1    ,  1    ,  3    ,  3    
MA    ,             4,   16491.803,       0.030,       0.030,       0.030, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  2    , 77    ,  2    ,  3    ,  2    
MA    ,             4,   15095.128,       0.044,       0.215,       0.044, 1     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  1    ,  1    ,  2    ,  4    
MA    ,             4,   16491.803,       0.508,       0.508,       0.508, 2     , 77    , 2     , 1     , 1     ,  4    ,  6    ,  2    , 77    ,  1    ,  2    ,  5    
MA    ,             4,   16491.803,      -0.047,      -0.047,      -0.047, 2     , 77    , 2     , 1     , 1     ,  4    ,  6    ,  2    , 77    ,  2    ,  1    ,  2    
MA    ,             4,   12858.421,       0.310,       1.003,       0.368, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             4,   17423.707,       0.075,       0.075,       0.075, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  2    , 94    ,  2    ,  5    
MA    ,             4,   13585.013,       0.315,       1.247,       0.369, 1     ,  5    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             4,   15948.110,       0.963,       0.963,       0.914, 2     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  1    ,  1    ,  2    ,  2    
MA    ,             4,   17423.707,       0.412,       0.412,       0.362, 2     , 77    , 2     , 1     , 1     ,  2    ,  2    ,  1    ,  2    ,  2    ,  1    ,  5    
MA    ,             4,   15948.110,       0.225,       0.477,       0.170, 1     , 77    , 1     , 1     , 1     ,  1    ,  5    ,  1    ,  1    ,  2    ,  2    ,  4    
MA    ,             4,   15948.110,       1.069,       1.069,       0.442, 2     , 77    , 1     , 1     , 1     ,  1    ,  5    ,  1    ,  1    ,  2    ,  1    ,  5    
MA    ,             4,   11254.251,       0.227,       0.227,       0.137, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             4,   11254.251,       1.065,       1.065,       0.673, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  2    ,  3    
MA    ,             4,   11254.251,       0.330,       0.330,       0.282, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  3    
MA    ,             4,   11254.251,       0.491,       0.491,       0.442, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  2    
MA    ,             4,   11254.251,       0.371,       0.371,       0.315, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             4,   11254.251,       1.036,       1.036,       0.777, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  2    
MA    ,             4,   11254.251,       0.335,       0.335,       0.335, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  3    
MA    ,             4,   11254.251,       0.834,       0.834,       0.538, 2     ,  2    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  2    
MA    ,             4,   11254.251,       0.424,       0.833,       0.424, 1     ,  3    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  2    ,  5    
MA    ,             4,   11254.251,       0.789,       0.789,       0.577, 2     ,  2    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             4,   11254.251,       0.683,       0.683,       0.537, 2     ,  4    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  5    
MA    ,             4,   11254.251,       0.424,       0.424,       0.327, 2     ,  2    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             4,   11254.251,       0.357,       0.533,       0.357, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  5    
MA    ,             4,   11254.251,       0.586,       0.586,       0.487, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  3    
MA    ,             4,   11254.251,       1.805,       1.805,       1.011, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             4,   11254.251,       1.449,       1.449,       1.131, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  2    ,  5    
MA    ,             5,   15568.366,      -0.036,      -0.036,      -0.036, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  2    , 94    ,  1    ,  1    
MA    ,             5,   15568.366,       0.015,       0.015,       0.015, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  1    ,  1    ,  2    ,  5    
MA    ,             5,   14900.650,       1.070,       1.070,       0.801, 2     ,  5    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  5    
MA    ,             5,   15742.643,       1.345,       1.345,       1.976, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             5,   15742.643,       0.762,       0.762,       0.681, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             5,   15742.643,       4.475,       4.475,       2.583, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  2    ,  1    
MA    ,             5,   15742.643,       2.362,       2.362,       1.318, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             5,   15742.643,       0.886,       0.886,       0.507, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             5,   13041.699,       1.354,       1.354,       0.993, 2     ,  2    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  5    
MA    ,             5,   13041.699,       5.934,       5.934,       2.557, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    , 94    
MA    ,             5,   13041.699,       5.735,       5.735,       2.335, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  5    
MA    ,             5,   13041.699,       5.959,       5.959,       2.653, 2     ,  4    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  5    
MA    ,             5,   13041.699,       5.320,       5.320,       3.734, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  2    
MA    ,             5,   13041.699,       1.100,       9.587,       1.327, 1     ,  5    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  5    
MA    ,             5,   13041.699,       2.271,       7.444,       1.924, 1     ,  4    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  5    
MA    ,             5,   13041.699,       6.237,       6.237,       4.638, 2     ,  4    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  2    
MA    ,             5,   13041.699,       7.070,       7.070,       5.052, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  2    ,  5    
MA    ,             5,   13041.699,       4.768,       4.768,       2.757, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             5,   15742.643,       4.780,       4.780,       3.092, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             5,   15742.643,       0.425,       0.425,       0.230, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  1    
MA    ,             5,   15742.643,       1.213,       1.213,       0.741, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  1    
MA    ,             5,   15742.643,       0.318,       0.660,       0.353, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             5,   15742.643,       2.821,       2.821,       2.094, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             5,   15742.643,       4.979,       4.979,       3.253, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  2    ,  1    
MA    ,             5,   14501.459,       3.095,       3.095,       2.170, 2     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  1    ,  1    ,  2    ,  1    
MA    ,             5,   14501.459,       0.264,       0.878,       0.264, 1     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  1    ,  2    ,  2    ,  5    
MA    ,             5,   16448.089,       0.488,       0.488,       0.434, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  2    , 94    ,  2    ,  5    
MA    ,             5,   15742.643,       1.748,       3.492,       1.711, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  2    
MA    ,             5,   15742.643,       3.533,      18.979,       3.596, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  3    ,  4    
MA    ,             5,   15742.643,       1.594,       4.046,       1.594, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  2    ,  5    
MA    ,             5,   12973.638,       0.282,       0.282,       0.282, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  1    ,  2    ,  3    ,  1    
MA    ,             5,   13725.851,       1.130,       1.130,       0.692, 2     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  1    ,  1    ,  2    ,  5    
MA    ,             5,   13725.851,       2.197,       2.197,       0.792, 2     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  2    ,  1    ,  1    ,  2    
MA    ,             5,   15568.366,      -0.117,      -0.117,      -0.117, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  2    ,  1    ,  1    ,  5    
MA    ,             5,   15568.366,       0.229,       0.229,       0.229, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  1    , 94    ,  1    ,  5    
MA    ,             5,   15568.366,       0.074,       0.074,       0.074, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  2    ,  2    ,  1    ,  5    
MA    ,             5,   15568.366,       0.228,       0.228,       0.228, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  2    ,  1    ,  2    ,  3    
MA    ,             6,   10828.533,       3.386,       3.386,       2.532, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  3    ,  4    
MA    ,             6,   10828.533,       1.533,       2.983,       1.533, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  4    
MA    ,             6,   10828.533,       1.134,       1.134,       0.765, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             6,   10828.533,       2.004,       2.004,       1.276, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  2    ,  2    
MA    ,             6,   10828.533,       3.327,       3.327,       2.822, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    , 98    ,  4    
MA    ,             6,   10828.533,       1.989,       1.989,       1.184, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             6,   10828.533,       3.101,       3.101,       2.549, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  4    
MA    ,             6,   14496.441,       0.802,       0.802,       0.802, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  2    ,  2    ,  2    ,  5    
MA    ,             6,   14496.441,       0.908,       0.908,       0.908, 2     , 77    , 2     , 1     , 1     ,  2    ,  5    ,  1    ,  1    ,  1    ,  2    ,  1    
MA    ,             6,   14496.441,       0.357,       0.357,       0.357, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  2    ,  1    ,  1    ,  1    
MA    ,             6,   12994.240,       0.908,       5.051,       1.187, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  1    
MA    ,             6,   14496.441,       0.744,       0.744,       0.744, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  2    ,  1    ,  1    ,  1    
MA    ,             6,   14496.441,       0.931,       0.931,       0.931, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  2    ,  2    , 98    ,  1    
MA    ,             6,   12994.240,       8.735,       8.735,       4.186, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             6,   14496.441,       0.116,       0.116,       0.116, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  2    ,  2    ,  2    ,  1    
MA    ,             6,   14496.441,       0.376,       0.376,       0.376, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  2    ,  1    ,  1    ,  2    
MA    ,             6,   12994.240,       0.922,       3.408,       0.853, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  2    ,  1    ,  2    ,  1    
MA    ,             6,   12994.240,      21.962,      21.962,      12.931, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             6,   12994.240,       8.636,       8.636,       5.870, 2     ,  1    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             6,   12994.240,       6.724,       6.724,       3.500, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             6,   14496.441,       0.754,       0.754,       0.754, 2     , 77    , 2     , 1     , 1     ,  3    ,  6    ,  1    ,  2    ,  2    ,  2    ,  2    
MA    ,             6,   12994.240,       0.872,       1.278,       0.701, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  2    
MA    ,             6,   12994.240,       1.048,       1.048,       1.182, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             6,   14496.441,       0.537,       0.537,       0.537, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             6,   14496.441,       0.160,       0.160,       0.160, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  2    ,  2    ,  1    ,  1    
MA    ,             6,   12994.240,       0.663,       2.116,       0.636, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  1    
MA    ,             6,   15315.593,       0.626,       0.626,       0.480, 2     , 77    , 2     , 1     , 1     ,  2    ,  1    ,  2    , 77    ,  1    ,  1    ,  5    
MA    ,             6,   13728.507,       0.440,       0.440,       0.337, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  2    ,  1    
MA    ,             6,   13728.507,       0.863,       1.953,       0.779, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  3    ,  1    
MA    ,             6,   13728.507,       0.565,       0.565,       0.405, 2     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  1    ,  2    ,  1    
MA    ,             6,   13728.507,       0.508,       0.944,       0.508, 1     ,  5    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  2    
MA    ,             6,   13728.507,       2.533,       2.533,       1.357, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             6,   10828.533,       5.061,       5.061,       2.501, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  5    
MA    ,             6,   10828.533,       1.760,       1.760,       1.152, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  5    
MA    ,             6,   10828.533,       3.532,       3.532,       1.660, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  2    ,  1    
MA    ,             6,   10828.533,       0.362,       2.905,       0.314, 1     ,  5    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             6,   10828.533,       3.629,      12.465,       3.245, 1     ,  2    , 1     , 2     , 3     , 77    ,  1    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             6,   10828.533,       2.665,       2.665,       1.631, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             6,   10828.533,       2.421,       2.421,       1.367, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             6,   10828.533,       1.467,       1.467,       0.708, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  3    ,  1    
MA    ,             6,   10828.533,       1.380,       1.380,       0.794, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             6,   10828.533,       0.751,       0.751,       0.730, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
CT    ,             1,   13585.013,       0.493,       0.493,       0.439, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  1    
CT    ,             1,   15948.110,       0.300,       0.454,       0.454, 1     , 77    , 1     , 1     , 1     ,  1    ,  3    ,  1    ,  1    ,  1    ,  2    ,  5    
CT    ,             1,   15948.110,       0.761,       0.761,       0.389, 2     , 77    , 1     , 1     , 1     ,  1    ,  2    ,  1    ,  1    ,  1    ,  1    ,  3    
CT    ,             1,   15948.110,       0.721,       0.721,       0.342, 2     , 77    , 1     , 1     , 1     ,  1    ,  3    ,  1    ,  1    ,  1    ,  2    ,  2    
CT    ,             1,   15948.110,       0.735,       0.735,       0.325, 2     , 77    , 1     , 1     , 1     ,  1    ,  2    ,  1    ,  1    ,  2    ,  1    ,  5    
CT    ,             1,   15948.110,       0.192,       0.379,       0.179, 1     , 77    , 1     , 1     , 1     ,  1    ,  3    ,  1    ,  1    ,  1    ,  1    ,  1    
CT    ,             1,   17423.707,      -0.068,      -0.068,      -0.068, 2     , 77    , 2     , 1     , 1     ,  2    ,  5    ,  1    ,  2    ,  2    ,  2    ,  1    
CT    ,             1,   14434.346,      -0.076,      -0.076,      -0.076, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  2    ,  2    ,  2    ,  1    
CT    ,             1,   11254.251,       1.138,       3.717,       1.028, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  3    ,  3    
CT    ,             1,   14434.346,       0.189,       0.189,       0.189, 2     , 77    , 2     , 1     , 1     ,  2    , 94    ,  1    ,  1    , 94    ,  1    ,  2    
CT    ,             1,   12858.421,       0.358,       0.358,       0.306, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  3    
CT    ,             1,   12858.421,       1.123,       1.123,       1.291, 2     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  3    , 94    
CT    ,             1,   12858.421,       0.744,       0.465,       0.660, 1     ,  4    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  3    ,  3    
CT    ,             1,   12858.421,       1.940,       4.265,       1.916, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  1    
CT    ,             1,   12858.421,       0.511,       1.312,       0.511, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  2    
CT    ,             1,   12858.421,       0.720,       1.059,       0.720, 1     ,  1    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  1    ,  1    ,  4    
CT    ,             1,   12858.421,       0.213,       0.433,       0.186, 1     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  3    ,  1    
CT    ,             1,   12858.421,       0.099,       0.275,       0.112, 1     ,  4    , 1     , 2     , 3     , 77    , 94    ,  1    ,  1    ,  2    ,  1    ,  4    
CT    ,             1,   12858.421,       0.447,       0.447,       0.256, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  1    ,  2    
CT    ,             1,   12858.421,       1.086,       1.086,       0.614, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  1    
CT    ,             1,   12858.421,       0.084,       0.446,       0.097, 1     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  1    
CT    ,             1,   12858.421,       0.012,       0.333,       0.012, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  2    
CT    ,             1,   12858.421,       0.307,       0.399,       0.307, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  1    
CT    ,             1,   12858.421,       0.511,       1.313,       0.432, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    , 94    
CT    ,             1,   12858.421,       0.898,       0.898,       0.520, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  1    
CT    ,             1,   12858.421,       5.860,       5.860,       2.562, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  3    ,  4    
CT    ,             1,   12858.421,       2.771,       2.771,       1.342, 2     ,  4    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  2    
CT    ,             1,   12858.421,       1.940,       0.975,       1.940, 1     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  4    
CT    ,             1,   12858.421,       0.165,       0.165,       0.294, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
CT    ,             1,   12858.421,       3.957,       3.957,       2.988, 2     ,  4    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  2    
